Motor Speed (rpm),Original Peak Torque (Nm),Original Peak Power (kW),Motor Efficiency,Inverter Efficiency
0.669972683,230.2535546,0.016154446,0.77639112,0.97
50.66205277,230.2197308,1.221388827,0.781002953,0.97
157.9218215,230.2197308,3.807266735,0.790735703,0.97
265.1815902,230.2197308,6.393144643,0.799111748,0.97
372.441359,230.2197308,8.979022553,0.807959721,0.97
479.7011277,230.2197308,11.56490046,0.818454886,0.97
586.9608964,230.2197308,14.15077837,0.828899761,0.97
694.2206651,230.2197308,16.73665628,0.838875085,0.97
801.7851491,230.3330272,19.33939311,0.848420856,0.97
908.7402026,230.2197308,21.90841209,0.858055877,0.97
1015.999971,230.2197308,24.49429,0.867807588,0.97
1123.25974,230.2197308,27.08016791,0.877362825,0.97
1230.519509,230.2197308,29.66604583,0.886166018,0.97
1331.075542,230.2197308,32.09030636,0.893514549,0.97
1438.335311,230.2197308,34.67618428,0.900097457,0.97
1545.595079,230.2197308,37.26206217,0.902327164,0.97
1652.854848,230.2197308,39.84794008,0.903250126,0.97
1760.114617,230.2197308,42.433818,0.903349248,0.97
1867.374386,230.2197308,45.01969591,0.903497081,0.97
1974.634154,230.2197308,47.6055738,0.903686013,0.97
2081.893923,230.2197308,50.19145172,0.903748723,0.97
2189.153692,230.2197308,52.77732963,0.903801012,0.97
2296.413461,230.2197308,55.36320755,0.903801012,0.97
2403.368514,230.3330272,57.97025366,0.903654249,0.97
2510.932998,230.2197308,60.53496335,0.903801012,0.97
2612.60632,230.158187,62.96932225,0.90357804,0.97
2720.759921,230.0812574,65.55413355,0.90370057,0.97
2826.008569,229.942784,68.04902038,0.903598532,0.97
2933.268337,229.942784,70.63178754,0.903558991,0.97
3040.528106,229.7350739,73.14841914,0.903829356,0.97
3140.087902,229.55,75.48275116,0.904016355,0.97
3210.749726,229.508,77.16722813,0.904071232,0.97
3309.794817,229.4658202,79.53306043,0.904126345,0.97
3415.937297,229.2504171,82.00656908,0.904369957,0.97
3523.197065,229.0427071,84.50492517,0.904639022,0.97
3630.456834,229.0427071,87.0775825,0.90460123,0.97
3737.716603,229.0427071,89.65023983,0.904599541,0.97
3844.976372,228.834997,92.13926373,0.904866317,0.97
3945.532405,228.834997,94.54894274,0.904825251,0.97
4053.706319,228.6335812,97.05567154,0.90508176,0.97
4160.051942,228.5580502,99.56894229,0.905134621,0.97
4267.311711,228.3503402,102.0433361,0.905396932,0.97
4374.57148,227.8656834,104.3861934,0.905940636,0.97
4480.917103,227.2488474,106.6343723,0.906676238,0.97
4589.091017,226.2732395,108.7397885,0.907888024,0.97
4694.339665,225.2346892,110.7231434,0.90917799,0.97
4801.477548,223.9758403,112.6171922,0.910741584,0.97
4907.518455,222.4652217,114.3280211,0.912536548,0.97
5014.778224,221.0804879,116.0996107,0.914211526,0.97
5122.037993,219.6957541,117.8400932,0.915905508,0.97
5227.957015,218.3110204,119.5188169,0.91748986,0.97
5326.501927,216.5801032,120.8062109,0.919604986,0.97
5433.456981,215.2897831,122.4977949,0.921011582,0.97